ucas_provider,cah1,exposure_alljobs_beta,n_people
"B24 Birkbeck, University of London",(CAH09) mathematical sciences,0.559962935016854,81
"B24 Birkbeck, University of London",(CAH10) engineering and technology,0.601471228796501,137
"B24 Birkbeck, University of London",(CAH11) computing,0.551133704861868,20
"B24 Birkbeck, University of London",(CAH15) social sciences,0.524081604650054,234
"B24 Birkbeck, University of London",(CAH16) law,0.502042945560918,379
"B24 Birkbeck, University of London",(CAH17) business and management,0.527805731268099,1306
B25 Birmingham City University,(CAH02) subjects allied to medicine,0.391083034274652,543
B25 Birmingham City University,(CAH10) engineering and technology,0.545198558722326,2360
B25 Birmingham City University,(CAH11) computing,0.595555814843794,178
B25 Birmingham City University,"(CAH13) architecture, building and planning",0.454285094784207,624
B25 Birmingham City University,(CAH15) social sciences,0.526159736289777,98
B25 Birmingham City University,(CAH16) law,0.491295203972751,1139
B25 Birmingham City University,(CAH17) business and management,0.511615392067179,5332
B25 Birmingham City University,(CAH22) education and teaching,0.385021461498227,549
B32 University of Birmingham,(CAH01) medicine and dentistry,0.448200275130003,403
B32 University of Birmingham,(CAH02) subjects allied to medicine,0.389259000756131,183
B32 University of Birmingham,(CAH03) biological and sport sciences,0.47892624231305,378
B32 University of Birmingham,(CAH07) physical sciences,0.52250440649233,809
B32 University of Birmingham,(CAH09) mathematical sciences,0.559962563980099,1083
B32 University of Birmingham,(CAH10) engineering and technology,0.573333332923309,1760
B32 University of Birmingham,(CAH11) computing,0.596843629028084,14
B32 University of Birmingham,(CAH15) social sciences,0.532933692876453,2139
B32 University of Birmingham,(CAH16) law,0.488482047991145,1844
B32 University of Birmingham,(CAH17) business and management,0.511774637500857,4331
B32 University of Birmingham,(CAH22) education and teaching,0.405123600518168,488
B35 University College Birmingham,(CAH17) business and management,0.452190173224523,1874
B35 University College Birmingham,(CAH22) education and teaching,0.399390642842714,71
B38 Lincoln Bishop University,(CAH09) mathematical sciences,0.452844136196666,12
B38 Lincoln Bishop University,(CAH17) business and management,0.497585602018346,28
B38 Lincoln Bishop University,(CAH22) education and teaching,0.386635963964403,696
B39 BIMM University,(CAH10) engineering and technology,0.432990881136545,18
B39 BIMM University,(CAH17) business and management,0.467318625808915,584
B40 Blackburn College,(CAH10) engineering and technology,0.545337324414202,41
B40 Blackburn College,(CAH16) law,0.468649277676598,19
B40 Blackburn College,(CAH17) business and management,0.475721110001453,109
B40 Blackburn College,(CAH22) education and teaching,0.446281506360416,25
B41 Blackpool and the Fylde College,(CAH03) biological and sport sciences,0.39961339203904,11
B41 Blackpool and the Fylde College,(CAH10) engineering and technology,0.509095529547737,137
B41 Blackpool and the Fylde College,(CAH11) computing,0.632416753869794,22
B41 Blackpool and the Fylde College,(CAH17) business and management,0.464955411214424,127
B44 University of Greater Manchester,(CAH02) subjects allied to medicine,0.367007108458123,52
B44 University of Greater Manchester,(CAH03) biological and sport sciences,0.436920263700286,34
B44 University of Greater Manchester,(CAH09) mathematical sciences,0.489184414872296,65
B44 University of Greater Manchester,(CAH10) engineering and technology,0.502896985975112,833
B44 University of Greater Manchester,(CAH11) computing,0.602697566064295,10
B44 University of Greater Manchester,(CAH16) law,0.497907656095723,138
B44 University of Greater Manchester,(CAH17) business and management,0.496737231684664,942
B44 University of Greater Manchester,(CAH22) education and teaching,0.41574931891608,103
B50 Bournemouth University,(CAH02) subjects allied to medicine,0.376727751168596,252
B50 Bournemouth University,(CAH03) biological and sport sciences,0.441684632001337,57
B50 Bournemouth University,(CAH10) engineering and technology,0.547858917237491,1670
B50 Bournemouth University,(CAH11) computing,0.601220342713494,52
B50 Bournemouth University,"(CAH13) architecture, building and planning",0.493993630303723,19
B50 Bournemouth University,(CAH15) social sciences,0.517157711528478,177
B50 Bournemouth University,(CAH16) law,0.497311385150866,723
B50 Bournemouth University,(CAH17) business and management,0.512921850575147,8902
B50 Bournemouth University,(CAH22) education and teaching,0.399811899232223,20
B54 BPP University,(CAH02) subjects allied to medicine,0.424361335125757,14
B54 BPP University,(CAH11) computing,0.610877302069241,14
B54 BPP University,(CAH16) law,0.500759255930033,229
B54 BPP University,(CAH17) business and management,0.512725260299396,590
B56 University of Bradford,(CAH01) medicine and dentistry,0.455760577432652,11
B56 University of Bradford,(CAH02) subjects allied to medicine,0.387331342615339,150
B56 University of Bradford,(CAH03) biological and sport sciences,0.514018800713318,10
B56 University of Bradford,(CAH07) physical sciences,0.474751266984489,200
B56 University of Bradford,(CAH10) engineering and technology,0.54823552795107,1340
B56 University of Bradford,(CAH11) computing,0.639064063381716,44
B56 University of Bradford,(CAH15) social sciences,0.544993673140589,239
B56 University of Bradford,(CAH16) law,0.49555480651601,304
B56 University of Bradford,(CAH17) business and management,0.520393275838465,1632
B56 University of Bradford,(CAH22) education and teaching,0.454703474516513,31
B68 Bridgend College,(CAH10) engineering and technology,0.386854549270583,13
B68 Bridgend College,(CAH11) computing,0.540514289771697,10
B69 Burnley College,(CAH10) engineering and technology,0.361484797038526,20
B69 Burnley College,(CAH17) business and management,0.407251208982017,10
B72 University of Brighton,(CAH01) medicine and dentistry,0.334695786578818,19
B72 University of Brighton,(CAH02) subjects allied to medicine,0.391614533623687,249
B72 University of Brighton,(CAH03) biological and sport sciences,0.494843625083259,30
B72 University of Brighton,(CAH07) physical sciences,0.471988897697781,69
B72 University of Brighton,(CAH09) mathematical sciences,0.58194506534932,197
B72 University of Brighton,(CAH10) engineering and technology,0.551237946660448,1207
B72 University of Brighton,(CAH11) computing,0.556618728065499,27
B72 University of Brighton,"(CAH13) architecture, building and planning",0.474588877295754,740
B72 University of Brighton,(CAH15) social sciences,0.503368011967102,78
B72 University of Brighton,(CAH16) law,0.482943476552642,286
B72 University of Brighton,(CAH17) business and management,0.505576154088931,5262
B72 University of Brighton,(CAH22) education and teaching,0.387454530859131,947
